instance,size,BKS_Veh,BKS_Dist
C1_6_1,600,60,14095.64
C1_6_2,600,56,14163.31
C1_6_3,600,56,13777.81
C1_6_4,600,56,13558.54
C1_6_5,600,60,14085.72
C1_6_6,600,59,15832.68
C1_6_7,600,57,15731.20
C1_6_8,600,56,14385.80
C1_6_9,600,56,13693.42
C1_6_10,600,56,13637.34
C2_6_1,600,18,7774.10
C2_6_2,600,17,8258.20
C2_6_3,600,17,7506.62
C2_6_4,600,17,6909.58
C2_6_5,600,18,7575.20
C2_6_6,600,18,7470.36
C2_6_7,600,18,7512.07
C2_6_8,600,17,7539.73
C2_6_9,600,17,7911.61
C2_6_10,600,17,7255.69
R1_6_1,600,59,21394.95
R1_6_2,600,54,18585.00
R1_6_3,600,54,16900.67
R1_6_4,600,54,15748.07
R1_6_5,600,54,19381.52
R1_6_6,600,54,17790.97
R1_6_7,600,54,16522.52
R1_6_8,600,54,15610.00
R1_6_9,600,54,18530.96
R1_6_10,600,54,17610.12
R2_6_1,600,11,18205.58
R2_6_2,600,11,14754.13
R2_6_3,600,11,11188.70
R2_6_4,600,11,8008.14
R2_6_5,600,11,15067.34
R2_6_6,600,11,12498.27
R2_6_7,600,11,10064.56
R2_6_8,600,11,7571.99
R2_6_9,600,11,13377.56
R2_6_10,600,11,12202.28
RC1_6_1,600,55,16982.86
RC1_6_2,600,55,15914.70
RC1_6_3,600,55,15204.64
RC1_6_4,600,55,14777.19
RC1_6_5,600,55,16559.78
RC1_6_6,600,55,16496.88
RC1_6_7,600,55,16077.12
RC1_6_8,600,55,15914.91
RC1_6_9,600,55,15826.24
RC1_6_10,600,55,15675.53
RC2_6_1,600,14,13324.93
RC2_6_2,600,12,11555.51
RC2_6_3,600,11,9438.52
RC2_6_4,600,11,7057.94
RC2_6_5,600,11,12909.07
RC2_6_6,600,11,11913.11
RC2_6_7,600,11,10711.85
RC2_6_8,600,11,9990.40
RC2_6_9,600,11,9574.99
RC2_6_10,600,11,9058.90
