instance,size,BKS_Veh,BKS_Dist
C1_4_1,400,40,7152.02
C1_4_2,400,36,7686.38
C1_4_3,400,36,7060.67
C1_4_4,400,36,6803.24
C1_4_5,400,40,7152.02
C1_4_6,400,40,7153.41
C1_4_7,400,39,7417.92
C1_4_8,400,37,7347.23
C1_4_9,400,36,7042.53
C1_4_10,400,36,6860.63
C2_4_1,400,12,4116.05
C2_4_2,400,12,3929.89
C2_4_3,400,11,4018.02
C2_4_4,400,11,3702.49
C2_4_5,400,12,3938.69
C2_4_6,400,12,3875.94
C2_4_7,400,12,3894.13
C2_4_8,400,11,4233.2
C2_4_9,400,12,3864.68
C2_4_10,400,11,3825.67
R1_4_1,400,40,10372.31
R1_4_2,400,36,8898.15
R1_4_3,400,36,7808.34
R1_4_4,400,36,7282.78
R1_4_5,400,36,9222.96
R1_4_6,400,36,8358.69
R1_4_7,400,36,7616.15
R1_4_8,400,36,7257.28
R1_4_9,400,36,8694.78
R1_4_10,400,36,8094.1
R2_4_1,400,8,9210.15
R2_4_2,400,8,7606.75
R2_4_3,400,8,5911.07
R2_4_4,400,8,4241.47
R2_4_5,400,8,7127.83
R2_4_6,400,8,6122.6
R2_4_7,400,8,5018.53
R2_4_8,400,8,4015.6
R2_4_9,400,8,6400.1
R2_4_10,400,8,5773.17
RC1_4_1,400,36,8571.32
RC1_4_2,400,36,7892.52
RC1_4_3,400,36,7533.05
RC1_4_4,400,36,7308.55
RC1_4_5,400,36,8172.64
RC1_4_6,400,36,8164.98
RC1_4_7,400,36,7948.51
RC1_4_8,400,36,7772.57
RC1_4_9,400,36,7733.35
RC1_4_10,400,36,7596.04
RC2_4_1,400,11,6682.37
RC2_4_2,400,9,6180.62
RC2_4_3,400,8,4930.84
RC2_4_4,400,8,3631.01
RC2_4_5,400,8,6706.44
RC2_4_6,400,8,5766.61
RC2_4_7,400,8,5334.72
RC2_4_8,400,8,4790.14
RC2_4_9,400,8,4551.11
RC2_4_10,400,8,4278.61
